12-May-21 13:02:28 - Data read from sightings.pkl
12-May-21 13:03:36 - Resuming: 54448
12-May-21 13:03:36 - new report page: http://www.nuforc.org/webreports/ndxe201210.html; Sightings in page: 686; Total: 54448
12-May-21 13:03:38 - added 686 sightings, total now 54448
12-May-21 13:03:39 - new report page: http://www.nuforc.org/webreports/ndxe201209.html; Sightings in page: 784; Total: 54448
12-May-21 13:03:41 - Record added: 9/30/12 23:00 - Hull (Canada), QC
12-May-21 13:03:42 - Record added: 9/30/12 23:00 - , 
12-May-21 13:03:42 - Record added: 9/30/12 22:00 - Kingston, NY
12-May-21 13:03:42 - Record added: 9/30/12 21:45 - McHenry, IL
12-May-21 13:03:43 - Record added: 9/30/12 21:40 - Baldwin Park, CA
12-May-21 13:03:43 - Record added: 9/30/12 20:15 - Portland, OR
12-May-21 13:03:43 - Record added: 9/30/12 20:00 - Spokane, WA
12-May-21 13:03:44 - Record added: 9/30/12 19:00 - Honokowai, HI
12-May-21 13:03:44 - Record added: 9/30/12 18:45 - Oakville (Canada), ON
12-May-21 13:03:44 - Record added: 9/30/12 18:10 - Castries (St. Lucia), 
12-May-21 13:03:45 - Record added: 9/30/12 15:50 - Los Angeles, CA
12-May-21 13:03:45 - Record added: 9/30/12 12:45 - Brick, NJ
12-May-21 13:03:45 - Record added: 9/30/12 08:20 - Dexter, MO
12-May-21 13:03:46 - Record added: 9/30/12 07:15 - Hendersonville, TN
12-May-21 13:03:46 - Record added: 9/30/12 04:55 - Hays, KS
12-May-21 13:03:46 - Record added: 9/30/12 04:00 - Dover, NH
12-May-21 13:03:47 - Record added: 9/30/12 01:00 - Bellevue, WA
12-May-21 13:03:47 - Record added: 9/30/12 00:30 - London (UK/England), 
12-May-21 13:03:47 - Record added: 9/30/12 00:16 - Chaska, MN
12-May-21 13:03:51 - Record added: 9/30/12 00:00 - Indianapolis, IN
12-May-21 13:03:51 - Record added: 9/30/12 00:00 - Delray Beach, FL
12-May-21 13:03:51 - Record added: 9/29/12 22:59 - Cicero, IL
12-May-21 13:03:52 - Record added: 9/29/12 22:20 - Catawba, OH
12-May-21 13:03:52 - Record added: 9/29/12 22:13 - Ufica, OH
12-May-21 13:03:52 - Record added: 9/29/12 22:10 - Temperance, MI
12-May-21 13:03:53 - Record added: 9/29/12 22:00 - Wayne, NJ
12-May-21 13:03:53 - Record added: 9/29/12 22:00 - Grand Rapids, MI
12-May-21 13:03:53 - Record added: 9/29/12 21:45 - Creswell, OR
12-May-21 13:03:54 - Record added: 9/29/12 21:20 - Anchorage, AK
